Token(type='PREPROC', value='#define JOYSTICK_CAN', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='get_and_send_joystick_pos', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=30)
Token(type='PARCLOSE', value=')', line=5, column=31)
Token(type='END', value=';', line=5, column=32)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef JOYSTICK_CAN', line=1, column=0)
Token(type='PREPROC', value='#define JOYSTICK_CAN', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='get_and_send_joystick_pos', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=30)
Token(type='PARCLOSE', value=')', line=5, column=31)
Token(type='END', value=';', line=5, column=32)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef JOYSTICK_CAN', line=1, column=0)
Token(type='PREPROC', value='#define JOYSTICK_CAN', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='get_and_send_joystick_pos', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=30)
Token(type='PARCLOSE', value=')', line=5, column=31)
Token(type='END', value=';', line=5, column=32)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef JOYSTICK_CAN', line=1, column=0)
Token(type='PREPROC', value='#define JOYSTICK_CAN', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='get_and_send_joystick_pos', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=30)
Token(type='PARCLOSE', value=')', line=5, column=31)
Token(type='END', value=';', line=5, column=32)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef JOYSTICK_CAN', line=1, column=0)
Token(type='PREPROC', value='#define JOYSTICK_CAN', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='get_and_send_joystick_pos', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=30)
Token(type='PARCLOSE', value=')', line=5, column=31)
Token(type='END', value=';', line=5, column=32)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef JOYSTICK_CAN', line=1, column=0)
Token(type='PREPROC', value='#define JOYSTICK_CAN', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='get_and_send_joystick_pos', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=30)
Token(type='PARCLOSE', value=')', line=5, column=31)
Token(type='END', value=';', line=5, column=32)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef JOYSTICK_CAN', line=1, column=0)
Token(type='PREPROC', value='#define JOYSTICK_CAN', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='get_and_send_joystick_pos', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=30)
Token(type='PARCLOSE', value=')', line=5, column=31)
Token(type='END', value=';', line=5, column=32)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef JOYSTICK_CAN', line=1, column=0)
Token(type='PREPROC', value='#define JOYSTICK_CAN', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='get_and_send_joystick_pos', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=30)
Token(type='PARCLOSE', value=')', line=5, column=31)
Token(type='END', value=';', line=5, column=32)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef JOYSTICK_CAN', line=1, column=0)
Token(type='PREPROC', value='#define JOYSTICK_CAN', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='get_and_send_joystick_pos', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=30)
Token(type='PARCLOSE', value=')', line=5, column=31)
Token(type='END', value=';', line=5, column=32)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef JOYSTICK_CAN', line=1, column=0)
Token(type='PREPROC', value='#define JOYSTICK_CAN', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='get_and_send_joystick_pos', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=30)
Token(type='PARCLOSE', value=')', line=5, column=31)
Token(type='END', value=';', line=5, column=32)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef JOYSTICK_CAN', line=1, column=0)
Token(type='PREPROC', value='#define JOYSTICK_CAN', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='get_and_send_joystick_pos', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=30)
Token(type='PARCLOSE', value=')', line=5, column=31)
Token(type='END', value=';', line=5, column=32)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef JOYSTICK_CAN', line=1, column=0)
Token(type='PREPROC', value='#define JOYSTICK_CAN', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='get_and_send_joystick_pos', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=30)
Token(type='PARCLOSE', value=')', line=5, column=31)
Token(type='END', value=';', line=5, column=32)
Token(type='PREPROC', value='#endif', line=7, column=0)
